id,"location","date","venue"
1,"Detroit, MI","14/08/1997","Gold Dollar"
2,"Detroit, MI","11/07/1998","4th Street Fair"
3,"Ferndale, MI","28/11/1998","Magic Bag"
4,"Detroit, MI","03/02/1999","WDET Radio Broadcast"
5,"Hamtramck, MI","13/03/1999","Paycheck’s"
6,"Detroit, MI","17/04/1999","Magic Stick"
7,"Detroit, MI","22/04/1999","Wayne State Student Center"
8,"Ferndale, MI","30/07/1999","Magic Bag"
9,"Detroit, MI","10/09/1999","Magic Stick"
10,"Townsend, MD","25/09/1999","Recher Theater"
11,"Raleigh, NC","26/09/1999","The Ritz"
12,"Athens, GA","27/09/1999","40 Watt"
13,"Detroit, MI","02/10/1999","Gold Bar"
14,"Detroit, MI","27/11/1999","Gold Dollar"
15,"Detroit, MI","03/03/2000","Magic Stick"
16,"Madison, WI","16/03/2000","O’Cayz Corral"
17,"Missoula, MT","15/06/2000","Jay’s"
18,"Seattle, WA","16/06/2000","Sit’n’Spin"
19,"Champaign, IL","29/06/2000","High Dive"
20,"Detroit, MI","18/08/2000","Magic Stick"
21,"Newport, KY","15/09/2000","Southgate House"
22,"Oberlin, OH","16/09/2000","Dionysus"
23,"Rochester, NY","21/09/2000","Bug Jar"
24,"Boston, MA","22/09/2000","Roxy"
25,"Asheville, NC","29/09/2000","Vincent’s Ear"
26,"Tokyo, Japan","27/10/2000","Urga"
27,"Tokyo, Japan","28/10/2000","Jam"
28,"Seattle, WA","02/12/2000","Sit’n’Spin"
29,"Vancouver, Canada","03/12/2000","Picadilly Pub"
30,"San Francisco, CA","07/12/2000","Bottom of the Hill"
31,"Los Angeles, CA","08/12/2000","Spaceland"
32,"Chicago, IL","15/12/2000","Empty Bottle"
33,"Detroit, MI","31/12/2000","Magic Stick"
34,"Baltimore, MD","17/02/2001","The Ottobar"
35,"Cambridge, MA","22/02/2001","The Middle East"
36,"San Francisco, CA","03/03/2001","Great American Music Hall"
37,"Austin, TX","16/03/2001","Listen Showcase"
38,"Chicago, IL","31/03/2001","Empty Bottle"
39,"Detroit, MI","31/03/2001","Magic Stick"
40,"Toledo, OH","20/04/2001","Bottle Rocket"
41,"San Francisco, CA","12/05/2001","The Fillmore"
42,"Detroit, MI","07/06/2001","Gold Dollar"
43,"Detroit, MI","09/06/2001","Magic Stick"
44,"Olympia, WA","10/06/2001","Club Thekla"
45,"New York, NY","16/06/2001","Bowery Ballroom"
46,"New York, NY","17/06/2001","Bowery Ballroom"
47,"Philadelphia, PA","19/06/2001","Northstar"
48,"Cambridge, MA","21/06/2001","Middle East"
49,"Chicago, IL","06/07/2001","The Empty Bottle"
50,"Seattle, WA","11/07/2001","Crocodile Club"
51,"Portland, OR","12/07/2001","Berbati’s Pan"
52,"San Francisco, CA","14/07/2001","Bimbo’s"
53,"San Francisco, CA","15/07/2001","Great American Music Hall"
54,"Los Angeles, CA","16/07/2001","Troubadour"
55,"Los Angeles, CA","17/07/2001","Troubadour"
56,"Hollywood, CA","17/07/2001","Late Late Show With Craig Kilborn"
57,"San Diego, CA","18/07/2001","Casbah"
58,"London, England","25/07/2001","Peel Sessions Madia Vale"
59,"Oxford, UK","29/07/2001","The Point"
60,"London, UK","30/07/2001","Dingwalls"
61,"Glasgow, Scotland","03/08/2001","King Tut’s"
62,"Dublin, Ireland","05/08/2001","Witness Festival"
63,"New York, NY","16/08/2001","Pier 54"
64,"Louisville, KY","06/09/2001","Headliner’s"
65,"Okalahoma, OK","12/09/2001","Green Door"
66,"Houston, TX","14/09/2001","Rudyard’s British Pub"
67,"Austin, TX","15/09/2001","Emo’s"
68,"Asheville, NC","22/09/2001","Stella Blue"
69,"Detroit, MI","02/11/2001","Detroit Institute Of Arts (Diego Rivera Court)"
70,"London, UK","06/11/2001","Late Show With Jools Holland, Wood Lane, BBC"
71,"London, UK","08/11/2001","Peel Acres, BBC"
72,"La Cigale, France","09/11/2001","Incoruptibles Festival"
73,"London, UK","10/11/2001","XFM Session"
74,"BBC, Scotland","15/11/2001","The Beat Room"
75,"Bristol, England","20/11/2001","Anson Rooms"
76,"BBC Studios, UK","23/11/2001","Top of The Pops"
77,"Munich, Germany","27/11/2001","Orange House"
78,"Toulouse, France","30/11/2001","Marins d’Eaux"
79,"Barcelona, Spain","01/12/2001","Pop Attack Festival"
80,"London, UK","06/12/2001","The Forum"
81,"Auckland, New Zealand","17/01/2002","The Dogs Bollix"
82,"Sydney, Austraila","24/01/2002","Live at the Wireless"
83,"Melborne, Austraila","30/01/2002","RRR Studios"
84,"Adelaide, Austraila","01/02/2002","Big Day Out"
85,"London, UK","21/02/2002","BBC Studios, Top of The Pops"
86,"London, UK","26/02/2002","93 Feet East"
87,"Nantes, France","02/03/2002","L’Olympic"
88,"Paris, France","05/03/2002","Elysee Montmatre"
89,"Strasbourg, France","06/03/2002","La Laiterie"
90,"Stuttgart, Germany","07/03/2002","Schorndorf Manufaktur"
91,"Dortmond, Germany","09/03/2002","FZW"
92,"Stockholm, Sweden","12/03/2002","Bern’s Salonger"
93,"Malmo, Sweden","13/03/2002","Kulturbolaget"
94,"Bergen, Norway","14/03/2002","Aulaen, NHH (Uken 2002)"
95,"Helsinki, Finland","15/03/2002","Tavastia Kubi"
96,"Oslo, Norway","16/03/2002","Festival Of Radio Nova"
97,"New York, NY","18/03/2002","Late Show w/ David Letterman"
98,"Cleveland, OH","29/03/2002","The Odeon"
99,"Pittsburgh, PA","30/03/2002","The Metropol"
100,"Philadelphia, PA","31/03/2002","The Torcadero"
