id,"show","title",order
1,"1","St. James Infirmary (Trad.)",0
2,"1","Jimmy the Exploder",1
3,"1","Red Bowling Ball Ruth",2
4,"1","I Can Learn",3
5,"1","Love Potion No. 9 (Leiber/Stoller)",4
6,"1","Why Can’t You Be Nicer to Me?",5
7,"1","Marantette Blues No. 3 (Lafayette Blues)",6
8,"1","Jumble, Jumble",7
9,"1","TV Eye (the Stooges)",8
10,"1","Big Girl (Little People) ",9
11,"1","Screwdriver",10
12,"2","My Little Red Book",0
13,"2","Wasting My Time",1
14,"2","Sugar Never Tasted So Good",2
15,"2","Do",3
16,"2","I Fought Piranhas",4
17,"2","Let’s Build a Home",5
18,"2","Let’s Shake Hands",6
19,"2","Red Bowling Ball Ruth",7
20,"2","The Big Three Killed My Baby",8
21,"2","Why Can’t You Be Nicer to Me?",9
22,"2","Lafayette Blues",10
23,"2","One More Cup of Coffee",11
24,"2","Screwdriver",12
25,"3","Moonage Daydream (David Bowie)",0
26,"3","Screwdriver",1
27,"3","Sugar Never Tasted So Good",2
28,"3","Let’s Shake Hands",3
29,"3","One More Cup of Coffee (Bob Dylan)",4
30,"3","Slicker Drips",5
31,"3","Lafayette Blues",6
32,"3","Do",7
33,"3","Let’s Build a Home/Goin’ Back to Memphis",8
34,"3","(Henry and June)",9
35,"4","(Interview)",0
36,"4","Sugar Never Tasted So Good",1
37,"4","(Interview)",2
38,"4","The Big Three Killed My Baby",3
39,"4","Do",4
40,"4","(Interview)",5
41,"4","Jimmy The Exploder",6
42,"4","(Interview)",7
43,"4","Screwdriver",8
44,"4","(Interview)",9
45,"4","Dead Leaves and the Dirty Ground",10
46,"4","(Interview)",11
47,"5","Broken Bricks",0
48,"5","Let’s Shake Hands",1
49,"5","The Big Three Killed My Baby",2
50,"5","Do",3
51,"5","Jimmy the Exploder",4
52,"5","Wasting My Time",5
53,"5","Cannon",6
54,"5","Screwdriver",7
55,"5","Astro",8
56,"5","Sugar Never Tasted So Good",9
57,"5","One More Cup of Coffee (Bob Dylan)",10
58,"5","Lafayette Blues",11
59,"6","I’m Bored (Iggy Pop)",0
60,"6","Trick Bag (Earl King)",1
61,"6","Jimmy the Exploder",2
62,"6","Cross Eyed (Brendan Benson)",3
63,"6","Wasting My Time",4
64,"6","Cannon",5
65,"6","Lafayette Blues",6
66,"6","Sugar Never Tasted So Good",7
67,"6","The Same Boy You’ve Always Known",8
68,"6","The Big Three Killed My Baby",9
69,"6","Broken Bricks",10
70,"6","Stop Breakin’ Down (Robert Johnson)",11
71,"6","Astro",12
72,"6","Let’s Shake Hands",13
73,"7","Let’s Shake Hands",0
74,"7","Do",1
75,"7","Cannon",2
76,"7","Sugar Never Tasted So Good",3
77,"7","Lafayette Blues",4
78,"7","Wasting My Time",5
79,"7","Jimmy the Exploder",6
80,"7","Astro",7
81,"7","Stop Breaking Down (Robert Johnson)",8
82,"7","Same Boy You’ve Always Known",9
83,"7","Broken Bricks",10
84,"7","I’m Bored (Iggy Pop)",11
85,"8","Jimmy the Exploder ",0
86,"8","Wasting My Time",1
87,"8","Astro",2
88,"8","Cannon",3
89,"8","The Big Three Killed My Baby",4
90,"8","I Just Don’t Know What to Do With Myself (Bacharach/David)",5
91,"8","Love Sick (Bob Dylan)",6
92,"8","Dead Leaves and the Dirty Ground",7
93,"8","St. James Infirmary (Trad.)",8
94,"8","Suzy Lee",9
95,"8","Stop Breakin’ Down (Robert Johnson)",10
96,"8","Lafayette Blues",11
97,"8","Same Boy You’ve Always Known",12
98,"8","You’ve Got Her in Your Pocket",13
99,"8","Broken Bricks",14
100,"9","Diddy Wah Diddy",0
101,"9","Never Thought That I Could Love You/Suzy Lee",1
102,"9","Let’s Shake Hands",2
103,"9","Lafayette Blues",3
104,"9","Jimmy the Exploder",4
105,"9","Do",5
106,"9","Why Can’t You Be Nicer to Me?",6
107,"9","Screwdriver",7
108,"10","Let’s Shake Hands",0
109,"10","Wasting My Time",1
110,"10","Sugar Never Tasted So Good",2
111,"10","The Big Three Killed My Baby",3
112,"10","Cannon",4
113,"10","Jimmy the Exploder",5
114,"10","Jolene (D.Parton)",6
115,"10","Suzy Lee/Let’s Build a Home/Goin’ Back to Memphis",7
116,"10","Good to Me",8
117,"10","You’re Pretty Good Looking",9
118,"10","Do",10
119,"10","Lafayette Blues",11
120,"10","Screwdriver",12
121,"11","Let’s Shake Hands ",0
122,"11","Astro",1
123,"11","Jimmy the Exploder",2
124,"11","Do",3
125,"11","Sugar Never Tasted So Good",4
126,"11","Little People",5
127,"11","Broken Bricks",6
128,"11","Suzy Lee",7
129,"11","Let’s Build a Home",8
130,"11","Jolene (Parton)",9
131,"11","Good To Me (Brendan Benson)",10
132,"11","I’m Bored (Iggy Pop)",11
133,"11","The Big Three Killed My Baby",12
134,"11","Trick Bag (Earl King)",13
135,"11","Screwdriver",14
136,"12","Let’s Shake Hands ",0
137,"12","Sugar Never Tasted So Good",1
138,"12","Good to Me (Brendan Benson)",2
139,"12","Suzy Lee",3
140,"12","Let’s Build a Home/Goin’ Back to Memphis",4
141,"12","(Henry and June)",5
142,"12","Jolene (Parton)",6
143,"12","Astro",7
144,"12","Jimmy the Exploder",8
145,"12","Broken Bricks",9
146,"12","I’m Bored (Iggy Pop)",10
147,"12","Slicker Drips",11
148,"12","The Big Three Killed My Baby",12
149,"13","Jolene (Dolly Parton)",0
150,"13","Astro",1
151,"13","Jimmy the Exploder",2
152,"13","Good to Me (Brendan Benson)",3
153,"13","Do",4
154,"13","Suzy Lee",5
155,"13","Never Thought That I Could Love You",6
156,"13","Let’s Build a Home",7
157,"13","Let’s Shake Hands",8
158,"13","Hello Operator",9
159,"13","Expecting",10
160,"13","You’re Pretty Good Looking",11
161,"13","Broken Bricks",12
162,"13","Wasting My Time",13
163,"13","Screwdriver",14
164,"14","You’re Pretty Good Looking",0
165,"14","Let’s Shake Hands",1
166,"14","Astro",2
167,"14","Screwdriver",3
168,"14","Stop Breaking Down",4
169,"14","Little Bird",5
170,"14","Jolene (D. Parton)",6
171,"14","Wasting My Time",7
172,"14","When I Hear My Name",8
173,"14","The Big Three Killed My Baby",9
174,"14","Do",10
175,"14","Hello Operator",11
176,"14","Expecting (instrumental)",12
177,"14","I’m Bored",13
178,"15","Little Bird",0
179,"15","I’m Bored (Iggy Pop)",1
180,"15","Screwdriver",2
181,"15","I Just Don’t Know What to Do With Myself (Bacharach/David)",3
182,"15","Hello Operator",4
183,"15","Wasting My Time",5
184,"15","Apple Blossom",6
185,"15","Death Letter (Son House)",7
186,"15","Astro",8
187,"15","Jimmy the Exploder",9
188,"15","Do ",10
189,"15","Handsprings",11
190,"15","Jumble, Jumble",12
191,"15","Let’s Shake Hands",13
192,"15","Broken Bricks",14
193,"15","The Big Three Killed My Baby",15
194,"16","Let’s Shake Hands",0
195,"16","Jimmy the Exploder",1
196,"16","Hello Operator",2
197,"16","Little Bird",3
198,"16","Death Letter (Son House)",4
199,"16","Jolene (Parton)",5
200,"16","You’re Pretty Good Looking",6
201,"16","Sugar Never Tasted So Good",7
202,"16","Astro",8
203,"16","Cannon",9
204,"16","The Big Three Killed My Baby",10
205,"16","Do",11
206,"16","I Just Don’t Know What to Do With Myself (Bacharach/David)",12
207,"16","Lafayette Blues",13
208,"16","I’m Bored (Iggy Pop)",14
209,"16","Screwdriver",15
210,"17","Let’s Shake Hands",0
211,"17","Hello Operator",1
212,"17","When I Hear My Name",2
213,"17","Broken Bricks",3
214,"17","You’re Pretty Good Looking",4
215,"17","Why Can’t You Be Nicer to Me?",5
216,"17","Your Southern Can is Mine (Blind Willie McTell)",6
217,"17","Wasting My Time",7
218,"17","Jolene (Parton)",8
219,"17","Do",9
220,"17","Sugar Never Tasted So Good",10
221,"17","Death Letter (Son House)",11
222,"17","Little Bird",12
223,"17","Astro/Jack the Ripper (Screaming Lord Sutch)",13
224,"17","Cannon",14
225,"18","Let’s Shake Hands",0
226,"18","You’re Pretty Good Looking",1
227,"18","When I Hear My Name",2
228,"18","Apple Blossom",3
229,"18","Your Southern Can is Mine (Blind Willie McTell)",4
230,"18","The Big Three Killed My Baby",5
231,"18","Cannon/John the Revelator (Son House)",6
232,"18","Little Bird",7
233,"18","Jolene (Parton)",8
234,"18","Death Letter (Son House)",9
235,"18","Little Bird",10
236,"18","Do",11
237,"18","Jimmy the Exploder",12
238,"18","Wasting My Time",13
239,"18","Sugar Never Tasted So Good",14
240,"18","Screwdriver",15
241,"18","Astro",16
242,"19","Let’s Shake Hands",0
243,"19","Jolene (D. Parton)",1
244,"19","You’re Pretty Good Looking",2
245,"19","Hello Operator",3
246,"19","When I Hear My Name",4
247,"19","Cannon",5
248,"19","Do/One More Cup Of Coffee (Dylan)",6
249,"19","Wasting My Time",7
250,"19","Death Letter",8
251,"19","Little Bird",9
252,"19","Jimmy The Exploder",10
253,"19","I’m Bored",11
254,"19","Do",12
255,"19","Astro/Jack The Ripper",13
256,"19","I Walk Like Jane Mansfield/The Big Three Killed My Baby",14
257,"19","Sugar Never Tasted So Good",15
258,"19","Your Southern Can Is Mine",16
259,"19","Screwdriver",17
260,"19","Truth Doesn’t Make A Noise",18
261,"19","Stop Breaking Down",19
262,"20","You’re Pretty Good Looking",0
263,"20","When I Hear My Name",1
264,"20","Jolene (Parton)",2
265,"20","Cannon",3
266,"20","Apple Blossom",4
267,"20","Dead Leaves and the Dirty Ground",5
268,"20","Death Letter (Son House)",6
269,"20","Little Bird",7
270,"20","Jimmy the Exploder",8
271,"20","I’m Bound to Pack it Up",9
272,"20","Broken Bricks",10
273,"20","Hello Operator",11
274,"20","Astro/Jack the Ripper (Screaming Lord Sutch)",12
275,"20","Ashtray Heart (Captain Beefheart)",13
276,"20","Do",14
277,"20","Let’s Shake Hands",15
278,"21","Let’s Shake Hands",0
279,"21","When I Hear My Name",1
280,"21","Jolene (Parton)",2
281,"21","You’re Pretty Good Looking",3
282,"21","Apple Blossom",4
283,"21","Cannon",5
284,"21","Wasting My Time",6
285,"21","Death Letter (Son House)",7
286,"21","Lord, Send Me an Angel (Blind Willie McTell)",8
287,"21","The Big Three Killed My Baby",9
288,"21","Astro",10
289,"21","Hello Operator",11
290,"21","Dead Leaves and the Dirty Ground",12
291,"21","Screwdriver",13
292,"22","Let’s Shake Hands",0
293,"22","Your Southern Can is Mine (Blind Willie McTell)",1
294,"22","When I Hear My Name",2
295,"22","You’re Pretty Good Looking",3
296,"22","Hello Operator",4
297,"22","Jolene (Parton)",5
298,"22","Apple Blossom",6
299,"22","Dead Leaves and the Dirty Ground",7
300,"22","Death Letter (Son House)",8
301,"22","Stop Breakin’ Down (Robert Johnson)",9
302,"22","One More Cup of Coffee (Bob Dylan)",10
303,"22","Astro/Jack the Ripper/Farmer John (Screaming Lord Sutch) (Don ""Sugarcane"" Harris)",11
304,"22","St. James Infirmary (Trad.)",12
305,"22","Cannon",13
306,"22","Truth Doesn’t Make a Noise",14
307,"22","Screwdriver",15
308,"22","Let’s Build a Home",16
309,"23","You’re Pretty Good Looking",0
310,"23","Let’s Shake Hands",1
311,"23","When I Hear My Name",2
312,"23","Jolene (D. Parton)",3
313,"23","Your Southern Can Is Mine",4
314,"23","Hello Operator",5
315,"23","The Big Three Killed My Baby",6
316,"23","Death Letter (Son House)",7
317,"23","Little Bird",8
318,"23","Dead Leaves and the Dirty Ground",9
319,"23","Apple Blossom",10
320,"23","Lafayette Blues",11
321,"23","Cannon",12
322,"23","Wasting My Time",13
323,"23","Screwdriver",14
324,"23","Look Me Over Closely",15
325,"24","Let’s Shake Hands",0
326,"24","When I Hear My Name",1
327,"24","Jolene (Parton)",2
328,"24","You’re Pretty Good Looking",3
329,"24","Your Southern Can is Mine (Blind Willie McTell)",4
330,"24","Hello Operator",5
331,"24","The Big Three Killed My Baby",6
332,"24","Death Letter (Son House)",7
333,"24","Apple Blossom",8
334,"24","Cannon",9
335,"24","Astro/Jack the Ripper (Screaming Lord Sutch)",10
336,"24","Screwdriver",11
337,"25","Let’s Shake Hands",0
338,"25","When I Hear My Name",1
339,"25","The Big Three Killed My Baby",2
340,"25","Cannon",3
341,"25","Jolene (D. Parton)",4
342,"25","Death Letter",5
343,"25","Little Bird",6
344,"25","You’re Pretty Good Looking",7
345,"25","Hello Operator",8
346,"25","Do",9
347,"25","Your Southern Can is Mine",10
348,"25","Sugar Never Tasted So Good",11
349,"25","Astro",12
350,"25","Jack the Ripper (Screaming Lord Sutch)/St. James Infirmary",13
351,"25","Broken Bricks",14
352,"25","Dead Leaves and the Dirty Ground",15
353,"25","Jimmy the Exploder",16
354,"25","Truth Doesn’t Make a Noise",17
355,"25","Wasting My Time",18
356,"25","One More Cup of Coffee (Dylan)",19
357,"25","Apple Blossom",20
358,"25","Look Me Over Closely",21
359,"25","Jumble, Jumble",22
360,"25","Lord, Send Me Angel",23
361,"25","Screwdriver",24
362,"26","Let’s Shake Hands",0
363,"26","When I Hear My Name",1
364,"26","You’re Pretty Good Looking",2
365,"26","Hello Operator",3
366,"26","Jolene (Parton)",4
367,"26","Apple Blossom",5
368,"26","Stop Breaking Down (Robert Johnson)",6
369,"26","Death Letter (Son House)",7
370,"26","Wasting My Time",8
371,"26","Broken Bricks",9
372,"26","Cannon",10
373,"26","Your Southern Can is Mine (Blind Willie McTell)",11
374,"26","Dead Leaves and the Dirty Ground",12
375,"26","I’m Bored (Iggy Pop)",13
376,"26","Screwdriver",14
377,"27","Let’s Shake Hands",0
378,"27","When I Hear My Name",1
379,"27","Jolene (Parton)",2
380,"27","Lord, Send Me an Angel (Blind Willie McTell)",3
381,"27","You’re Pretty Good Looking",4
382,"27","Hello Operator",5
383,"27","Death Letter (Son House)",6
384,"27","Astro/I Walk Like Jayne Mansfield/Jack the Ripper (5.6.7.8’s)/(Screaming Lord Sutch)",7
385,"27","Cannon/John the Revelator (Son House)",8
386,"27","Dead Leaves and the Dirty Ground",9
387,"27","Apple Blossom",10
388,"27","I Just Don’t Know What to Do With Myself (Bacharach/David)",11
389,"27","Screwdriver",12
390,"28","(Late Show)",0
391,"28","Back to School",1
392,"28","You’re Pretty Good Looking",2
393,"28","Hello Operator",3
394,"28","Lord, Send Me an Angel (Blind Willie McTell)",4
395,"28","When I Hear My Name",5
396,"28","Slicker Drips",6
397,"28","Apple Blossom",7
398,"28","Dead Leaves and the Dirty Ground",8
399,"28","Death Letter (Son House)",9
400,"28","Little Bird",10
401,"28","Let’s Build a Home/Goin’ Back to Memphis (Henry and June)",11
402,"28","Sister, Do You Know My Name?",12
403,"28","Truth Doesn’t Make a Noise",13
404,"28","Astro",14
405,"28","Cannon",15
406,"28","I Just Don’t Know What to Do With Myself (Bacharach/David)",16
407,"28","Jolene (Parton)",17
408,"28","You’ve Got Her in Your Pocket",18
409,"29","Let’s Shake Hands",0
410,"29","Astro",1
411,"29","When I Hear My Name",2
412,"29","Jolene (Parton)",3
413,"29","Lord, Send Me an Angel (Blind Willie McTell)",4
414,"29","You’re Pretty Good Looking",5
415,"29","Hello Operator",6
416,"29","Death Letter (Son House)",7
417,"29","Dead Leaves and the Dirty Ground",8
418,"29","Apple Blossom",9
419,"29","Wasting My Time",10
420,"29","Jumble, Jumble",11
421,"29","Broken Bricks",12
422,"29","Screwdriver",13
423,"30","You’re Pretty Good Looking",0
424,"30","Hello Operator",1
425,"30","When I Hear My Name",2
426,"30","Jolene (Parton)",3
427,"30","Dead Leaves and the Dirty Ground",4
428,"30","Let’s Shake Hands",5
429,"30","The Big Three Killed My Baby",6
430,"30","Lord, Send Me an Angel (Blind Willie McTell)",7
431,"30","Suzy Lee",8
432,"30","Let’s Build a Home/Goin’ Back to Memphis (Henry and June)",9
433,"30","Death Letter (Son House)",10
434,"30","Little Bird",11
435,"30","Apple Blossom",12
436,"30","Slicker Drips",13
437,"30","Cannon",14
438,"30","Wasting My Time",15
439,"30","Jimmy the Exploder",16
